customer_id,order_id
4846,20032791
7097,20032792
2135,20032793
2910,20032794
2843,20032795
3395,20032796
1314,20032797
1263,20032798
3385,20032799
5837,20032800
6913,20032801
5402,20032802
5024,20032803
6929,20032804
850,20032805
2655,20032806
1348,20032807
4145,20032808
4186,20032809
2901,20032810
4815,20032811
2210,20032812
5592,20032813
5217,20032814
3135,20032815
2485,20032816
895,20032817
1778,20032818
5779,20032819
1158,20032820
7061,20032821
1182,20032822
5708,20032823
6161,20032824
5295,20032825
3031,20032826
5253,20032827
2673,20032828
7299,20032829
6450,20032830
7217,20032831
3363,20032832
1751,20032833
5677,20032834
4952,20032835
3198,20032836
5119,20032837
6524,20032838
5927,20032839
3980,20032840
5263,20032841
154,20032842
7175,20032843
2199,20032844
749,20032845
1143,20032846
7373,20032847
532,20032848
1363,20032849
6587,20032850
6707,20032851
2020,20032852
5111,20032853
3372,20032854
4760,20032855
4771,20032856
6967,20032857
4302,20032858
1784,20032859
2702,20032860
610,20032861
2956,20032862
303,20032863
1381,20032864
6305,20032865
879,20032866
708,20032867
1257,20032868
2849,20032869
4665,20032870
1477,20032871
6228,20032872
1948,20032873
6075,20032874
4265,20032875
3263,20032876
6250,20032877
3732,20032878
4730,20032879
3264,20032880
4849,20032881
5865,20032882
1504,20032883
2516,20032884
736,20032885
3577,20032886
6423,20032887
5814,20032888
2244,20032889
4834,20032890
4723,20032891
952,20032892
2489,20032893
3020,20032894
4793,20032895
2534,20032896
853,20032897
2398,20032898
3811,20032899
4317,20032900
4114,20032901
652,20032902
2334,20032903
2923,20032904
482,20032905
3638,20032906
2155,20032907
670,20032908
6983,20032909
545,20032910
4110,20032911
4722,20032912
1964,20032913
3783,20032914
2798,20032915
5086,20032916
2877,20032917
3268,20032918
1096,20032919
6574,20032920
5836,20032921
3043,20032922
6364,20032923
2576,20032924
4854,20032925
5085,20032926
1240,20032927
1858,20032928
1543,20032929
3292,20032930
3442,20032931
1795,20032932
3973,20032933
3544,20032934
4489,20032935
2285,20032936
4552,20032937
309,20032938
5233,20032939
396,20032940
244,20032941
3777,20032942
389,20032943
5700,20032944
1072,20032945
7083,20032946
1931,20032947
4978,20032948
884,20032949
3415,20032950
3279,20032951
6722,20032952
955,20032953
7268,20032954
6399,20032955
6583,20032956
2261,20032957
5042,20032958
7141,20032959
1918,20032960
3291,20032961
5606,20032962
2776,20032963
4769,20032964
1165,20032965
6503,20032966
1739,20032967
2598,20032968
4625,20032969
3780,20032970
720,20032971
6912,20032972
6714,20032973
1672,20032974
6294,20032975
5443,20032976
3480,20032977
4294,20032978
6239,20032979
152,20032980
1047,20032981
4009,20032982
7182,20032983
1843,20032984
1304,20032985
3571,20032986
5491,20032987
4435,20032988
293,20032989
7271,20032990
783,20032991
845,20032992
2022,20032993
1654,20032994
1150,20032995
6374,20032996
599,20032997
5949,20032998
2425,20032999
6936,20033000
5008,20033001
145,20033002
2886,20033003
5928,20033004
6822,20033005
6892,20033006
831,20033007
138,20033008
1056,20033009
4699,20033010
7229,20033011
2325,20033012
734,20033013
2274,20033014
5649,20033015
6656,20033016
3060,20033017
6984,20033018
7138,20033019
3896,20033020
3747,20033021
3359,20033022
1390,20033023
3459,20033024
779,20033025
3817,20033026
5534,20033027
1107,20033028
2287,20033029
3979,20033030
4378,20033031
1034,20033032
6470,20033033
1559,20033034
1661,20033035
1361,20033036
3664,20033037
2332,20033038
2110,20033039
